nohup: ignoring input
==============================================================
🦅 KIMIA GLOBAL — از رکورد تو به قدرت جهانی
==============================================================
👑 Owner: COMMANDER
🏛️  Official: KIMIA
🔐 Master Hash: 912a0c32a9158794
🔐 Signature: 8764a02e7f7710ee5277be777e659eaa
💼 Wallet: TKr9W9EBV7bPuyMuJiLbM4uJqUK5ei6B28

✅ API HTML: /data/data/com.termux/files/home/KIMIA_GLOBAL/api/index.html
✅ WIPO: /data/data/com.termux/files/home/KIMIA_GLOBAL/wipo/submission.txt
✅ Agent Report: /data/data/com.termux/files/home/KIMIA_GLOBAL/agent/report.txt
✅ Identity: /data/data/com.termux/files/home/KIMIA_GLOBAL/identity/identity.json

==============================================================
🎯 شروع شکار خودمختار...
==============================================================

[351] منابع:9/7 | BTC:$76720.0100 | USDT:228971.000 | ARB:0.0272% | فرصت:0
[354] منابع:9/7 | BTC:$76720.0100 | USDT:228971.000 | ARB:0.0272% | فرصت:0
[357] منابع:9/7 | BTC:$76720.0100 | USDT:228971.000 | ARB:0.0272% | فرصت:0
[360] منابع:7/7 | BTC:$76721.2400 | USDT:— | ARB:0% | فرصت:0
[363] منابع:10/7 | BTC:$76721.2400 | USDT:228971.000 | ARB:0.0256% | فرصت:0
[366] منابع:10/7 | BTC:$76734.0000 | USDT:228971.000 | ARB:0.0090% | فرصت:0
[369] منابع:9/7 | BTC:$76734.0000 | USDT:228971.000 | ARB:0.0090% | فرصت:0
[372] منابع:9/7 | BTC:$76734.0000 | USDT:228971.000 | ARB:0.0090% | فرصت:0
[375] منابع:9/7 | BTC:$76734.0000 | USDT:228971.000 | ARB:0.0090% | فرصت:0
[378] منابع:9/7 | BTC:$76726.0100 | USDT:228971.000 | ARB:0.0194% | فرصت:0
[381] منابع:8/7 | BTC:$76735.6700 | USDT:— | ARB:0% | فرصت:0
[384] منابع:10/7 | BTC:$76758.0000 | USDT:228971.000 | ARB:-0.022% | فرصت:0
[387] منابع:9/7 | BTC:$76758.0100 | USDT:228971.000 | ARB:-0.022% | فرصت:0
[390] منابع:9/7 | BTC:$76766.6300 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[393] منابع:9/7 | BTC:$76766.6200 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[396] منابع:9/7 | BTC:$76766.0100 | USDT:228971.000 | ARB:-0.032% | فرصت:0
[399] منابع:10/7 | BTC:$76766.0100 | USDT:228971.000 | ARB:-0.032% | فرصت:0
[402] منابع:10/7 | BTC:$76775.9000 | USDT:228971.000 | ARB:-0.045% | فرصت:0
[405] منابع:9/7 | BTC:$76772.0100 | USDT:228971.000 | ARB:-0.040% | فرصت:0
[408] منابع:9/7 | BTC:$76772.0100 | USDT:228971.000 | ARB:-0.040% | فرصت:0
[411] منابع:9/7 | BTC:$76772.0100 | USDT:228971.000 | ARB:-0.040% | فرصت:0
[414] منابع:9/7 | BTC:$76772.0000 | USDT:228971.000 | ARB:-0.040% | فرصت:0
[417] منابع:9/7 | BTC:$76766.9100 | USDT:228971.000 | ARB:-0.033% | فرصت:0
[420] منابع:7/7 | BTC:$76766.9200 | USDT:228971.000 | ARB:-0.033% | فرصت:0
